14.85	4.512e-12	4.006e-13	1.009e-12	1.258e-12	1.844e-12
14.97	4.333e-12	5.205e-13	7.680e-13	9.447e-13	2.100e-12
15.08	3.918e-12	3.926e-13	8.629e-13	9.668e-13	1.696e-12
15.19	4.075e-12	3.245e-13	8.409e-13	1.103e-12	1.806e-12
15.30	3.910e-12	3.871e-13	9.631e-13	7.653e-13	1.794e-12
15.42	4.265e-12	3.661e-13	7.154e-13	1.002e-12	2.181e-12
15.53	3.533e-12	3.114e-13	5.701e-13	6.251e-13	2.027e-12
15.64	3.302e-12	3.162e-13	5.689e-13	7.289e-13	1.688e-12
15.75	3.594e-12	2.915e-13	5.578e-13	6.941e-13	2.051e-12
15.87	3.795e-12	3.067e-13	6.328e-13	6.814e-13	2.174e-12
15.98	3.413e-12	3.272e-13	5.911e-13	8.345e-13	1.660e-12
16.09	4.172e-12	3.129e-13	6.021e-13	1.272e-12	1.985e-12
16.20	3.131e-12	2.397e-13	6.945e-13	6.622e-13	1.535e-12
16.32	2.792e-12	2.602e-13	5.282e-13	6.167e-13	1.387e-12
16.43	4.029e-12	2.297e-13	6.425e-13	9.083e-13	2.248e-12
16.54	3.543e-12	2.444e-13	4.941e-13	6.997e-13	2.104e-12
16.65	3.045e-12	2.691e-13	7.921e-13	4.868e-13	1.497e-12
16.77	3.110e-12	2.596e-13	5.554e-13	6.477e-13	1.647e-12
16.88	3.022e-12	2.432e-13	5.342e-13	5.730e-13	1.672e-12
16.99	3.154e-12	2.715e-13	3.904e-13	5.123e-13	1.979e-12
17.10	3.286e-12	2.137e-13	5.022e-13	6.218e-13	1.948e-12
17.22	2.747e-12	2.494e-13	3.977e-13	5.194e-13	1.581e-12
17.33	2.832e-12	1.751e-13	3.850e-13	4.581e-13	1.814e-12
17.44	3.192e-12	1.766e-13	4.167e-13	6.615e-13	1.937e-12
17.55	3.156e-12	2.393e-13	4.754e-13	5.627e-13	1.879e-12
17.67	2.505e-12	1.580e-13	3.750e-13	4.521e-13	1.520e-12
17.78	2.834e-12	3.397e-13	4.354e-13	5.776e-13	1.481e-12
17.89	3.028e-12	1.763e-13	5.858e-13	7.412e-13	1.525e-12
18.00	2.663e-12	1.594e-13	3.780e-13	5.615e-13	1.564e-12
18.12	3.175e-12	1.694e-13	3.126e-13	4.771e-13	2.216e-12
18.23	2.689e-12	1.300e-13	3.344e-13	4.583e-13	1.766e-12
18.34	2.794e-12	1.248e-13	3.321e-13	5.023e-13	1.834e-12
18.45	2.372e-12	1.203e-13	3.051e-13	4.253e-13	1.522e-12
18.57	2.877e-12	1.129e-13	3.079e-13	4.097e-13	2.046e-12
18.68	2.561e-12	1.171e-13	3.820e-13	4.092e-13	1.653e-12
18.79	3.547e-12	1.103e-13	6.085e-13	5.044e-13	2.324e-12
18.90	2.180e-12	1.002e-13	2.665e-13	3.206e-13	1.493e-12
19.02	2.341e-12	1.027e-13	3.476e-13	3.467e-13	1.544e-12
19.13	2.007e-12	9.954e-14	2.494e-13	3.181e-13	1.340e-12
19.24	2.653e-12	1.382e-13	6.403e-13	6.719e-13	1.203e-12
19.35	2.830e-12	1.162e-13	2.592e-13	6.135e-13	1.841e-12
19.47	2.470e-12	1.072e-13	3.274e-13	3.355e-13	1.700e-12
19.58	2.190e-12	8.802e-14	2.875e-13	3.517e-13	1.463e-12
19.69	2.197e-12	1.233e-13	2.347e-13	3.362e-13	1.503e-12
19.80	2.281e-12	1.115e-13	2.758e-13	3.791e-13	1.514e-12
19.92	2.114e-12	9.315e-14	2.103e-13	3.059e-13	1.505e-12
20.03	1.856e-12	8.259e-14	2.058e-13	2.862e-13	1.281e-12
20.14	2.301e-12	1.864e-13	2.493e-13	2.671e-13	1.598e-12
20.26	2.007e-12	7.211e-14	3.164e-13	2.431e-13	1.375e-12
20.37	1.666e-12	6.175e-14	1.660e-13	2.588e-13	1.179e-12
20.48	1.741e-12	6.476e-14	1.756e-13	2.586e-13	1.242e-12
20.59	1.948e-12	6.298e-14	4.151e-13	2.668e-13	1.204e-12
20.71	1.856e-12	6.499e-14	1.858e-13	3.371e-13	1.268e-12
20.82	1.604e-12	5.759e-14	1.914e-13	2.525e-13	1.102e-12
20.93	1.893e-12	5.362e-14	1.405e-13	2.212e-13	1.477e-12
21.04	1.689e-12	7.255e-14	1.635e-13	2.283e-13	1.224e-12
21.16	1.571e-12	5.213e-14	1.480e-13	2.552e-13	1.115e-12
21.27	2.013e-12	8.871e-14	1.593e-13	3.001e-13	1.465e-12
21.38	1.813e-12	5.408e-14	1.499e-13	2.288e-13	1.380e-12
21.49	1.819e-12	4.658e-14	1.613e-13	2.821e-13	1.329e-12
21.61	1.743e-12	4.486e-14	1.483e-13	2.580e-13	1.292e-12
21.72	1.594e-12	4.576e-14	1.348e-13	2.207e-13	1.193e-12
21.83	1.518e-12	4.657e-14	1.253e-13	2.090e-13	1.137e-12
21.94	1.695e-12	3.876e-14	1.576e-13	2.110e-13	1.287e-12
22.06	1.446e-12	4.662e-14	1.021e-13	2.141e-13	1.083e-12
22.17	1.273e-12	4.343e-14	1.068e-13	1.550e-13	9.678e-13
22.28	1.433e-12	3.910e-14	9.940e-14	1.753e-13	1.119e-12
22.39	1.393e-12	4.233e-14	1.021e-13	1.619e-13	1.086e-12
22.51	1.462e-12	3.488e-14	8.910e-14	2.096e-13	1.129e-12
22.62	1.149e-12	3.080e-14	9.319e-14	1.727e-13	8.520e-13
22.73	1.454e-12	3.448e-14	9.260e-14	1.395e-13	1.187e-12
22.84	1.572e-12	3.210e-14	9.752e-14	4.674e-13	9.754e-13
22.96	1.278e-12	3.878e-14	7.600e-14	1.465e-13	1.016e-12
23.07	1.593e-12	3.150e-14	1.334e-13	1.561e-13	1.272e-12
23.18	1.436e-12	2.439e-14	1.094e-13	2.247e-13	1.077e-12
23.29	1.352e-12	3.328e-14	7.643e-14	1.920e-13	1.050e-12
